,Abstract,Title
61,,Accurate spin-dependent electron liquid correlation energies for local spin density calculations: a critical analysis
62,"A search for the Standard Model Higgs boson in proton-proton collisions with the ATLAS detector at the LHC is presented. The datasets used correspond to integrated luminosities of approximately 4.8 fb<SUP>-1</SUP> collected at √{ s} = 7 TeV in 2011 and 5.8 fb<SUP>-1</SUP> at √{ s} = 8 TeV in 2012. Individual searches in the channels H → Z<SUP>Z (*)</SUP> → 4 ℓ, H → γγ and H → W<SUP>W (*)</SUP> → eνμν in the 8 TeV data are combined with previously published results of searches for H → Z<SUP>Z (*)</SUP>, W<SUP>W (*)</SUP>, bbbar and τ<SUP>+</SUP>τ<SUP>-</SUP> in the 7 TeV data and results from improved analyses of the H → Z<SUP>Z (*)</SUP> → 4 ℓ and H → γγ channels in the 7 TeV data. Clear evidence for the production of a neutral boson with a measured mass of 126.0 ± 0.4 (stat) ± 0.4 (sys) GeV is presented. This observation, which has a significance of 5.9 standard deviations, corresponding to a background fluctuation probability of 1.7 ×10<SUP>-9</SUP>, is compatible with the production and decay of the Standard Model Higgs boson.",Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC
63,"The oxide superconductors, particularly those recently discovered that are based on La2CuO4, have a set of peculiarities that suggest a common, unique mechanism: they tend in every case to occur near a metal-insulator transition into an odd-electron insulator with peculiar magnetic properties. This insulating phase is proposed to be the long-sought 'resonating-valence-bond' state or 'quantum spin liquid' hypothesized in 1973. This insulating magnetic phase is favored by low spin, low dimensionality, and magnetic frustration. The preexisting magnetic singlet pairs of the insulating state become charged superconducting pairs when the insulator is doped sufficiently strongly. The mechanism for superconductivity is hence predominantly electronic and magnetic, although weak phonon interactions may favor the state. Many unusual properties are predicted, especially of the insulating state.",The resonating valence bond state in La2CuO4 and superconductivity
64,"This biennial Review summarizes much of particle physics. Using data from previous editions, plus 2658 new measurements from 644 papers, we list, evaluate, and average measured properties of gauge bosons, leptons, quarks, mesons, and baryons. We summarize searches for hypothetical particles such as Higgs bosons, heavy neutrinos, and supersymmetric particles. All the particle properties and search limits are listed in Summary Tables. We also give numerous tables, figures, formulae, and reviews of topics such as the Standard Model, particle detectors, probability, and statistics. Among the 112 reviews are many that are new or heavily revised including those on Heavy-Quark and Soft-Collinear Effective Theory, Neutrino Cross Section Measurements, Monte Carlo Event Generators, Lattice QCD, Heavy Quarkonium Spectroscopy, Top Quark, Dark Matter, V<SUB>cb</SUB> & V<SUB>ub</SUB>, Quantum Chromodynamics, High-Energy Collider Parameters, Astrophysical Constants, Cosmological Parameters, and Dark Matter.A booklet is available containing the Summary Tables and abbreviated versions of some of the other sections of this full Review. All tables, listings, and reviews (and errata) are also available on the Particle Data Group website: http://pdg.lbl.gov/.The 2012 edition of Review of Particle Physics is published for the Particle Data Group as article 010001 in volume 86 of Physical Review D.This edition should be cited as: J. Beringer et al. (Particle Data Group), Phys. Rev. D 86, 010001 (2012).",Review of Particle Physics
65,"The evolutionary significance of the observed luminosity function for main-sequence stars in the solar neighborhood is discussed. The hypothesis is made that stars move off the main sequence after burning about 10 per cent of their hydrogen mass and that stars have been created at a uniform rate in the solar neighborhood for the last five billion years. Using this hypothesis and the observed luminosity function, the rate of star creation as a function of stellar mass is calculated. The total number and mass of stars which have moved off the main sequence is found to be comparable with the total number of white dwarfs and with the total mass of all fainter main-sequence stars, respectively.",The Luminosity Function and Stellar Evolution.
66,"Complex networks describe a wide range of systems in nature and society. Frequently cited examples include the cell, a network of chemicals linked by chemical reactions, and the Internet, a network of routers and computers connected by physical links. While traditionally these systems have been modeled as random graphs, it is increasingly recognized that the topology and evolution of real networks are governed by robust organizing principles. This article reviews the recent advances in the field of complex networks, focusing on the statistical mechanics of network topology and dynamics. After reviewing the empirical data that motivated the recent interest in networks, the authors discuss the main models and analytical tools, covering random graphs, small-world and scale-free networks, the emerging theory of evolving networks, and the interplay between topology and the network's robustness against failures and attacks.",Statistical mechanics of complex networks
67,"This review describes a new paradigm of electronics based on the spin degree of freedom of the electron. Either adding the spin degree of freedom to conventional charge-based electronic devices or using the spin alone has the potential advantages of nonvolatility, increased data processing speed, decreased electric power consumption, and increased integration densities compared with conventional semiconductor devices. To successfully incorporate spins into existing semiconductor technology, one has to resolve technical issues such as efficient injection, transport, control and manipulation, and detection of spin polarization as well as spin-polarized currents. Recent advances in new materials engineering hold the promise of realizing spintronic devices in the near future. We review the current state of the spin-based devices, efforts in new materials fabrication, issues in spin transport, and optical spin manipulation.",Spintronics: A Spin-Based Electronics Vision for the Future
68,"We present a new model for computing the spectral evolution of stellar populations at ages between 1 × 10<SUP>5</SUP> and 2 × 10<SUP>10</SUP> yr at a resolution of 3 Å across the whole wavelength range from 3200 to 9500 Å for a wide range of metallicities. These predictions are based on a newly available library of observed stellar spectra. We also compute the spectral evolution across a larger wavelength range, from 91 Å to 160 μm, at lower resolution. The model incorporates recent progress in stellar evolution theory and an observationally motivated prescription for thermally pulsing stars on the asymptotic giant branch. The latter is supported by observations of surface brightness fluctuations in nearby stellar populations. We show that this model reproduces well the observed optical and near-infrared colour-magnitude diagrams of Galactic star clusters of various ages and metallicities. Stochastic fluctuations in the numbers of stars in different evolutionary phases can account for the full range of observed integrated colours of star clusters in the Magellanic Clouds. The model reproduces in detail typical galaxy spectra from the Early Data Release (EDR) of the Sloan Digital Sky Survey (SDSS). We exemplify how this type of spectral fit can constrain physical parameters such as the star formation history, metallicity and dust content of galaxies. Our model is the first to enable accurate studies of absorption-line strengths in galaxies containing stars over the full range of ages. Using the highest-quality spectra of the SDSS EDR, we show that this model can reproduce simultaneously the observed strengths of those Lick indices that do not depend strongly on element abundance ratios. The interpretation of such indices with our model should be particularly useful for constraining the star formation histories and metallicities of galaxies.",Stellar population synthesis at the resolution of 2003
69,"Results are presented from searches for the standard model Higgs boson in proton-proton collisions at √{ s} = 7 and 8 TeV in the Compact Muon Solenoid experiment at the LHC, using data samples corresponding to integrated luminosities of up to 5.1 fb<SUP>-1</SUP> at 7 TeV and 5.3 fb<SUP>-1</SUP> at 8 TeV. The search is performed in five decay modes: γγ, ZZ, W<SUP>+</SUP>W<SUP>-</SUP>, τ<SUP>+</SUP>τ<SUP>-</SUP>, and bbbar. An excess of events is observed above the expected background, with a local significance of 5.0 standard deviations, at a mass near 125 GeV, signalling the production of a new particle. The expected significance for a standard model Higgs boson of that mass is 5.8 standard deviations. The excess is most significant in the two decay modes with the best mass resolution, γγ and ZZ; a fit to these signals gives a mass of 125.3 ± 0.4 (stat.) ± 0.5 (syst.) GeV. The decay to two photons indicates that the new particle is a boson with spin different from one.",Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC
70,"When electrons are confined in two-dimensional materials, quantum-mechanically enhanced transport phenomena such as the quantum Hall effect can be observed. Graphene, consisting of an isolated single atomic layer of graphite, is an ideal realization of such a two-dimensional system. However, its behaviour is expected to differ markedly from the well-studied case of quantum wells in conventional semiconductor interfaces. This difference arises from the unique electronic properties of graphene, which exhibits electron-hole degeneracy and vanishing carrier mass near the point of charge neutrality. Indeed, a distinctive half-integer quantum Hall effect has been predicted theoretically, as has the existence of a non-zero Berry's phase (a geometric quantum phase) of the electron wavefunction-a consequence of the exceptional topology of the graphene band structure. Recent advances in micromechanical extraction and fabrication techniques for graphite structures now permit such exotic two-dimensional electron systems to be probed experimentally. Here we report an experimental investigation of magneto-transport in a high-mobility single layer of graphene. Adjusting the chemical potential with the use of the electric field effect, we observe an unusual half-integer quantum Hall effect for both electron and hole carriers in graphene. The relevance of Berry's phase to these experiments is confirmed by magneto-oscillations. In addition to their purely scientific interest, these unusual quantum transport phenomena may lead to new applications in carbon-based electronic and magneto-electronic devices.",Experimental observation of the quantum Hall effect and Berry's phase in graphene
71,Preface. Notation. Copyright Acknowledgements. Part One Preliminaries. Part Two the General Theory of Relativity. Part Three Applications of Feneral Relativity. Part Four Formal Developments. Part Five Cosmology. Appendix. Some Useful Numbers. Index.,Gravitation and Cosmology: Principles and Applications of the General Theory of Relativity
72,"Systems as diverse as genetic networks or the World Wide Web are best described as networks with complex topology. A common property of many large networks is that the vertex connectivities follow a scale-free power-law distribution. This feature was found to be a consequence of two generic mechanisms: (i) networks expand continuously by the addition of new vertices, and (ii) new vertices attach preferentially to sites that are already well connected. A model based on these two ingredients reproduces the observed stationary scale-free distributions, which indicates that the development of large networks is governed by robust self-organizing phenomena that go beyond the particulars of the individual systems.",Emergence of Scaling in Random Networks
73,,Physics of semiconductor devices
74,"Three parallel algorithms for classical molecular dynamics are presented. The first assigns each processor a fixed subset of atoms; the second assigns each a fixed subset of inter-atomic forces to compute; the third assigns each a fixed spatial region. The algorithms are suitable for molecular dynamics models which can be difficult to parallelize efficientlyâthose with short-range forces where the neighbors of each atom change rapidly. They can be implemented on any distributed-memory parallel machine which allows for message-passing of data between independently executing processors. The algorithms are tested on a standard Lennard-Jones benchmark problem for system sizes ranging from 500 to 100,000,000 atoms on several parallel supercomputers--the nCUBE 2, Intel iPSC/860 and Paragon, and Cray T3D. Comparing the results to the fastest reported vectorized Cray Y-MP and C90 algorithm shows that the current generation of parallel machines is competitive with conventional vector supercomputers even for small problems. For large problems, the spatial algorithm achieves parallel efficiencies of 90% and a 1840-node Intel Paragon performs up to 165 faster than a single Cray C9O processor. Trade-offs between the three algorithms and guidelines for adapting them to more complex molecular dynamics simulations are also discussed.",Fast Parallel Algorithms for Short-Range Molecular Dynamics
75,,The ERA-Interim reanalysis: configuration and performance of the data assimilation system
76,"This paper presents the first cosmological results based on Planck measurements of the cosmic microwave background (CMB) temperature and lensing-potential power spectra. We find that the Planck spectra at high multipoles (ℓ ≳ 40) are extremely well described by the standard spatially-flat six-parameter ΛCDM cosmology with a power-law spectrum of adiabatic scalar perturbations. Within the context of this cosmology, the Planck data determine the cosmological parameters to high precision: the angular size of the sound horizon at recombination, the physical densities of baryons and cold dark matter, and the scalar spectral index are estimated to be θ<SUB>∗</SUB> = (1.04147 ± 0.00062) × 10<SUP>-2</SUP>, Ω<SUB>b</SUB>h<SUP>2</SUP> = 0.02205 ± 0.00028, Ω<SUB>c</SUB>h<SUP>2</SUP> = 0.1199 ± 0.0027, and n<SUB>s</SUB> = 0.9603 ± 0.0073, respectively(note that in this abstract we quote 68% errors on measured parameters and 95% upper limits on other parameters). For this cosmology, we find a low value of the Hubble constant, H<SUB>0</SUB> = (67.3 ± 1.2) km s<SUP>-1</SUP> Mpc<SUP>-1</SUP>, and a high value of the matter density parameter, Ω<SUB>m</SUB> = 0.315 ± 0.017. These values are in tension with recent direct measurements of H<SUB>0</SUB> and the magnitude-redshift relation for Type Ia supernovae, but are in excellent agreement with geometrical constraints from baryon acoustic oscillation (BAO) surveys. Including curvature, we find that the Universe is consistent with spatial flatness to percent level precision using Planck CMB data alone. We use high-resolution CMB data together with Planck to provide greater control on extragalactic foreground components in an investigation of extensions to the six-parameter ΛCDM model. We present selected results from a large grid of cosmological models, using a range of additional astrophysical data sets in addition to Planck and high-resolution CMB data. None of these models are favoured over the standard six-parameter ΛCDM cosmology. The deviation of the scalar spectral index from unity isinsensitive to the addition of tensor modes and to changes in the matter content of the Universe. We find an upper limit of r<SUB>0.002</SUB>〈 0.11 on the tensor-to-scalar ratio. There is no evidence for additional neutrino-like relativistic particles beyond the three families of neutrinos in the standard model. Using BAO and CMB data, we find N<SUB>eff</SUB> = 3.30 ± 0.27 for the effective number of relativistic degrees of freedom, and an upper limit of 0.23 eV for the sum of neutrino masses. Our results are in excellent agreement with big bang nucleosynthesis and the standard value of N<SUB>eff</SUB> = 3.046. We find no evidence for dynamical dark energy; using BAO and CMB data, the dark energy equation of state parameter is constrained to be w = -1.13<SUB>-0.10</SUB><SUP>+0.13</SUP>. We also use the Planck data to set limits on a possible variation of the fine-structure constant, dark matter annihilation and primordial magnetic fields. Despite the success of the six-parameter ΛCDM model in describing the Planck data at high multipoles, we note that this cosmology does not provide a good fit to the temperature power spectrum at low multipoles. The unusual shape of the spectrum in the multipole range 20 ≲ ℓ ≲ 40 was seen previously in the WMAP data and is a real feature of the primordial CMB anisotropies. The poor fit to the spectrum at low multipoles is not of decisive significance, but is an ""anomaly"" in an otherwise self-consistent analysis of the Planck temperature data.",Planck 2013 results. XVI. Cosmological parameters
77,"We show that the large-N limits of certainconformal field theories in various dimensions includein their Hilbert space a sector describing supergravityon the product of anti-de Sitter spacetimes, spheres, and other compact manifolds. This is shown bytaking some branes in the full M/string theory and thentaking a low-energy limit where the field theory on thebrane decouples from the bulk. We observe that, in this limit, we can still trust thenear-horizon geometry for large N. The enhancedsupersymmetries of the near-horizon geometry correspondto the extra supersymmetry generators present in thesuperconformal group (as opposed to just the super-Poincaregroup). The 't Hooft limit of 3 + 1 N = 4 super-Yang?Mills at the conformal pointis shown to contain strings: they are IIB strings. Weconjecture that compactifications of M/string theory on various anti-de Sitterspacetimes is dual to various conformal field theories.This leads to a new proposal for a definition ofM-theory which could be extended to include fivenoncompact dimensions.",The Large-N Limit of Superconformal Field Theories and Supergravity
78,"Conventional wisdom states that Newton's force law implies only four noncompact dimensions. We demonstrate that this is not necessarily true in the presence of a nonfactorizable background geometry. The specific example we study is a single 3-brane embedded in five dimensions. We show that even without a gap in the Kaluza-Klein spectrum, four-dimensional Newtonian and general relativistic gravity is reproduced to more than adequate precision.",An Alternative to Compactification
79,"Spintronics, or spin electronics, involves the study of active control and manipulation of spin degrees of freedom in solid-state systems. This article reviews the current status of this subject, including both recent advances and well-established results. The primary focus is on the basic physical principles underlying the generation of carrier spin polarization, spin dynamics, and spin-polarized transport in semiconductors and metals. Spin transport differs from charge transport in that spin is a nonconserved quantity in solids due to spin-orbit and hyperfine coupling. The authors discuss in detail spin decoherence mechanisms in metals and semiconductors. Various theories of spin injection and spin-polarized transport are applied to hybrid structures relevant to spin-based devices and fundamental studies of materials properties. Experimental work is reviewed with the emphasis on projected applications, in which external electric and magnetic fields and illumination by light will be used to control spin and charge dynamics to create new functionalities not feasible or ineffective with conventional electronics.",Spintronics: Fundamentals and applications
80,"Classical Monte Carlo simulations have been carried out for liquid water in the NPT ensemble at 25 Â°C and 1 atm using six of the simpler intermolecular potential functions for the water dimer: Bernal-Fowler (BF), SPC, ST2, TIPS2, TIP3P, and TIP4P. Comparisons are made with experimental thermodynamic and structural data including the recent neutron diffraction results of Thiessen and Narten. The computed densities and potential energies are in reasonable accord with experiment except for the original BF model, which yields an 18% overestimate of the density and poor structural results. The TIPS2 and TIP4P potentials yield oxygen-oxygen partial structure functions in good agreement with the neutron diffraction results. The accord with the experimental OH and HH partial structure functions is poorer; however, the computed results for these functions are similar for all the potential functions. Consequently, the discrepancy may be due to the correction terms needed in processing the neutron data or to an effect uniformly neglected in the computations. Comparisons are also made for self-diffusion coefficients obtained from molecular dynamics simulations. Overall, the SPC, ST2, TIPS2, and TIP4P models give reasonable structural and thermodynamic descriptions of liquid water and they should be useful in simulations of aqueous solutions. The simplicity of the SPC, TIPS2, and TIP4P functions is also attractive from a computational standpoint.",Comparison of simple potential functions for simulating liquid water
81,"A comprehensive review of the theory of galactic dynamics is presented. Key empirical facts about stellar systems are briefly reviewed, and the ingredients needed to construct galaxy models are assembled, including potential theory, stellar orbits, and the theory of the equilibrium configurations of stellar systems. The stability of these configurations and the theory of spiral structures are discussed. Collisions and encounters between stellar systems are considered, and two-body realization and the approach to statistical equilibrium in star clusters are addressed. It is shown how the observable properties of galaxies such as their luminosities and colors are changed by the aging of their constituent stellar populations. Finally, it is shown that most of the mass in the universe is locked up in some still invisible form.",Galactic dynamics
82,"We propose a new framework for solving the hierarchy problem which does not rely on either supersymmetry or technicolor. In this framework, the gravitational and gauge interactions become united at the weak scale, which we take as the only fundamental short distance scale in nature. The observed weakness of gravity on distances 〉~ 1 mm is due to the existence of n〉=2 new compact spatial dimensions large compared to the weak scale. The Planck scale M<SUB>Pl</SUB>~G<SUB>N</SUB><SUP>-1/2</SUP> is not a fundamental scale; its enormity is simply a consequence of the large size of the new dimensions. While gravitons can freely propagate in the new dimensions, at sub-weak energies the Standard Model (SM) fields must be localized to a 4-dimensional manifold of weak scale ``thickness'' in the extra dimensions. This picture leads to a number of striking signals for accelerator and laboratory experiments. For the case of n=2 new dimensions, planned sub-millimeter measurements of gravity may observe the transition from 1/r<SUP>2</SUP>--〉1/r<SUP>4</SUP> Newtonian gravitation. For any number of new dimensions, the LHC and NLC could observe strong quantum gravitational interactions. Furthermore, SM particles can be kicked off our 4 dimensional manifold into the new dimensions, carrying away energy, and leading to an abrupt decrease in events with high transverse momentum p<SUB>T</SUB>〉~ TeV. For certain compact manifolds, such particles will keep circling in the extra dimensions, periodically returning, colliding with and depositing energy to our four dimensional vacuum with frequencies of ~10<SUP>12</SUP> Hz or larger. As a concrete illustration, we construct a model with SM fields localized on the 4-dimensional throat of a vortex in 6 dimensions, with a Pati-Salam gauge symmetry SU(4)xSU(2)xSU(2) in the bulk. © 1998",The hierarchy problem and new dimensions at a millimeter
83,"The electronic properties of inversion and accumulation layers at semiconductor-insulator interfaces and of other systems that exhibit two-dimensional or quasi-two-dimensional behavior, such as electrons in semiconductor heterojunctions and superlattices and on liquid helium, are reviewed. Energy levels, transport properties, and optical properties are considered in some detail, especially for electrons at the (100) silicon-silicon dioxide interface. Other systems are discussed more briefly.",Electronic properties of two-dimensional systems
84,"A large data set consisting of about 1000 normal mode periods, 500 summary travel time observations, 100 normal mode Q values, mass and moment of inertia have been inverted to obtain the radial distribution of elastic properties, Q values and density in the Earth's interior. The data set was supplemented with a special study of 12 years of ISC phase data which yielded an additional 1.75 Ă 10 <SUP>6</SUP> travel time observations for P and S waves. In order to obtain satisfactory agreement with the entire data set we were required to take into account anelastic dispersion. The introduction of transverse isotropy into the outer 220 km of the mantle was required in order to satisfy the shorter period fundamental toroidal and spheroidal modes. This anisotropy also improved the fit of the larger data set. The horizontal and vertical velocities in the upper mantle differ by 2-4%, both for P and S waves. The mantle below 220 km is not required to be anisotropic. Mantle Rayleigh waves are surprisingly sensitive to compressional velocity in the upper mantle. High S <SUB>n</SUB> velocities, low P <SUB>n</SUB> velocities and a pronounced low-velocity zone are features of most global inversion models that are suppressed when anisotropy is allowed for in the inversion. The Preliminary Reference Earth Model, PREM, and auxiliary tables showing fits to the data are presented.",Preliminary reference Earth model
85,,A Model of Leptons
86,,"Handbook of mathematical functions with formulas, graphs, and mathematical tables"
87,"With a conventional lens sharpness of the image is always limited by the wavelength of light. An unconventional alternative to a lens, a slab of negative refractive index material, has the power to focus all Fourier components of a 2D image, even those that do not propagate in a radiative manner. Such ``superlenses'' can be realized in the microwave band with current technology. Our simulations show that a version of the lens operating at the frequency of visible light can be realized in the form of a thin slab of silver. This optical version resolves objects only a few nanometers across.",Negative Refraction Makes a Perfect Lens
88,"In molecular dynamics (MD) simulations the need often arises to maintain such parameters as temperature or pressure rather than energy and volume, or to impose gradients for studying transport properties in nonequilibrium MD. A method is described to realize coupling to an external bath with constant temperature or pressure with adjustable time constants for the coupling. The method is easily extendable to other variables and to gradients, and can be applied also to polyatomic molecules involving internal constraints. The influence of coupling time constants on dynamical variables is evaluated. A leap-frog algorithm is presented for the general case involving constraints with coupling to both a constant temperature and a constant pressure bath.",Molecular dynamics with coupling to an external bath
89,"The entanglement of a pure state of a pair of quantum systems is defined as the entropy of either member of the pair. The entanglement of formation of a mixed state Ď is the minimum average entanglement of an ensemble of pure states that represents Ď. An earlier paper conjectured an explicit formula for the entanglement of formation of a pair of binary quantum objects (qubits) as a function of their density matrix, and proved the formula for special states. The present paper extends the proof to arbitrary states of this system and shows how to construct entanglement-minimizing decompositions.",Entanglement of Formation of an Arbitrary State of Two Qubits
90,"A quantal system in an eigenstate, slowly transported round a circuit C by varying parameters R in its Hamiltonian hat{H}(R), will acquire a geometrical phase factor exp {iγ(C)} in addition to the familiar dynamical phase factor. An explicit general formula for γ(C) is derived in terms of the spectrum and eigenstates of hat{H}(R) over a surface spanning C. If C lies near a degeneracy of hat{H}, γ(C) takes a simple form which includes as a special case the sign change of eigenfunctions of real symmetric matrices round a degeneracy. As an illustration γ(C) is calculated for spinning particles in slowly-changing magnetic fields; although the sign reversal of spinors on rotation is a special case, the effect is predicted to occur for bosons as well as fermions, and a method for observing it is proposed. It is shown that the Aharonov-Bohm effect can be interpreted as a geometrical phase factor.",Quantal Phase Factors Accompanying Adiabatic Changes
91,"Finite systems of deterministic ordinary nonlinear differential equations may be designed to represent forced dissipative hydrodynamic flow. Solutions of these equations can be identified with trajectories in phase space. For those systems with bounded solutions, it is found that nonperiodic solutions are ordinarily unstable with respect to small modifications, so that slightly differing initial states can evolve into considerably different states. Systems with bounded solutions are shown to possess bounded numerical solutions.A simple system representing cellular convection is solved numerically. All of the solutions are found to be unstable, and almost all of them are nonperiodic.The feasibility of very-long-range weather prediction is examined in the light of these results.",Deterministic Nonperiodic Flow.
92,,Handbook of Mathematical Functions
93,"The probability of a configuration is given in classical theory by the Boltzmann formula exp [-VhT] where V is the potential energy of this configuration. For high temperatures this of course also holds in quantum theory. For lower temperatures, however, a correction term has to be introduced, which can be developed into a power series of h. The formula is developed for this correction by means of a probability function and the result discussed.",On the Quantum Correction For Thermodynamic Equilibrium
94,"We have studied the magnetoresistance of (001)Fe/(001)Cr superlattices prepared by molecular-beam epitaxy. A huge magnetoresistance is found in superlattices with thin Cr layers: For example, with t<SUB>Cr</SUB>=9 Ă, at T=4.2 K, the resistivity is lowered by almost a factor of 2 in a magnetic field of 2 T. We ascribe this giant magnetoresistance to spin-dependent transmission of the conduction electrons between Fe layers through Cr layers.",Giant magnetoresistance of (001)Fe/(001)Cr magnetic superlattices
95,"In a framework of the renormalizable theory of weak interaction, problems of CP-violation are studied. It is concluded that no realistic models of CP-violation exist in the quartet scheme without introducing any other new fields. Some possible models of CP-violation are also discussed.",CP-Violation in the Renormalizable Theory of Weak Interaction
96,"We use N-body simulations to investigate the structure of dark halos in the standard cold dark matter cosmogony. Halos are excised from simulations of cosmologically representative regions and are resimulated individually at high resolution. We study objects with masses ranging from those of dwarf galaxy halos to those of rich galaxy clusters. The spherically averaged density profiles of all our halos can be fitted over two decades in radius by scaling a simple ""universal"" profile. The characteristic over- density of a halo, or equivalently its concentration, correlates strongly with halo mass in a way that reflects the mass dependence of the epoch of halo formation. Halo profiles are approximately isothermal over a large range in radii but are significantly shallower than r -2 near the center and steeper than r<SUP>-2</SUP> near the virial radius. Matching the observed rotation curves of disk galaxies requires disk mass-to-light ratios to increase systematically with luminosity. Further, it suggests that the halos of bright galaxies depend only weakly on galaxy luminosity and have circular velocities significantly lower than the disk rotation speed. This may explain why luminosity and dynamics are uncorrelated in observed samples of binary galaxies and of satellite/spiral systems. For galaxy clusters, our halo models are consistent both with the presence of giant arcs and with the observed structure of the intracluster medium, and they suggest a simple explanation for the disparate estimates of cluster core radii found by previous authors. Our results also highlight two shortcomings of the CDM model. CDM halos are too concentrated to be consistent with the halo parameters inferred for dwarf irregulars, and the predicted abundance of galaxy halos is larger than the observed abundance of galaxies. The first problem may imply that the core structure of dwarf galaxies was altered by the galaxy formation process, and the second problem may imply that galaxies failed to form (or remain undetected) in many dark halos.",The Structure of Cold Dark Matter Halos
97,"This biennial Review summarizes much of particle physics. Using data from previous editions, plus 2158 new measurements from 551 papers, we list, evaluate, and average measured properties of gauge bosons, leptons, quarks, mesons, and baryons. We also summarize searches for hypothetical particles such as Higgs bosons, heavy neutrinos, and supersymmetric particles. All the particle properties and search limits are listed in Summary Tables. We also give numerous tables, figures, formulae, and reviews of topics such as the Standard Model, particle detectors, probability, and statistics. Among the 108 reviews are many that are new or heavily revised including those on neutrino mass, mixing, and oscillations, QCD, top quark, CKM quark-mixing matrix, V<SUB>ud</SUB> & V<SUB>us</SUB>, V<SUB>cb</SUB> & V<SUB>ub</SUB>, fragmentation functions, particle detectors for accelerator and non-accelerator physics, magnetic monopoles, cosmological parameters, and big bang cosmology. A booklet is available containing the Summary Tables and abbreviated versions of some of the other sections of this full Review. All tables, listings, and reviews (and errata) are also available on the Particle Data Group website: <A href=""http://pdg.lbl.gov"">pdg.lbl.gov</A>.",Review of Particle Physics
98,"Topological insulators are new states of quantum matter which cannot be adiabatically connected to conventional insulators and semiconductors. They are characterized by a full insulating gap in the bulk and gapless edge or surface states which are protected by time-reversal symmetry. These topological materials have been theoretically predicted and experimentally observed in a variety of systems, including HgTe quantum wells, BiSb alloys, and Bi<SUB>2</SUB>Te<SUB>3</SUB> and Bi<SUB>2</SUB>Se<SUB>3</SUB> crystals. Theoretical models, materials properties, and experimental results on two-dimensional and three-dimensional topological insulators are reviewed, and both the topological band theory and the topological field theory are discussed. Topological superconductors have a full pairing gap in the bulk and gapless surface states consisting of Majorana fermions. The theory of topological superconductors is reviewed, in close analogy to the theory of topological insulators.",Topological insulators and superconductors
99,Practical application of the generalized Bell's theorem in the so-called key distribution process in cryptography is reported. The proposed scheme is based on the Bohm's version of the Einstein-Podolsky-Rosen gedanken experiment and Bell's theorem is used to test for eavesdropping.,Quantum cryptography based on Bell's theorem
100,"The calculation of accurate electron affinities (EAs) of atomic or molecular species is one of the most challenging tasks in quantum chemistry. We describe a reliable procedure for calculating the electron affinity of an atom and present results for hydrogen, boron, carbon, oxygen, and fluorine (hydrogen is included for completeness). This procedure involves the use of the recently proposed correlation-consistent basis sets augmented with functions to describe the more diffuse character of the atomic anion coupled with a straightforward, uniform expansion of the reference space for multireference singles and doubles configuration-interaction (MRSD-CI) calculations. Comparison with previous results and with corresponding full CI calculations are given. The most accurate EAs obtained from the MRSD-CI calculations are (with experimental values in parentheses) hydrogen 0.740 eV (0.754), boron 0.258 (0.277), carbon 1.245 (1.263), oxygen 1.384 (1.461), and fluorine 3.337 (3.401). The EAs obtained from the MR-SDCI calculations differ by less than 0.03 eV from those predicted by the full CI calculations.",Electron affinities of the first-row atoms revisited. Systematic basis sets and wave functions
101,"A general type of fluctuation-dissipation theorem is discussed to show that the physical quantities such as complex susceptibility of magnetic or electric polarization and complex conductivity for electric conduction are rigorously expressed in terms of time-fluctuation of dynamical variables associated with such irreversible processes. This is a generalization of statistical mechanics which affords exact formulation as the basis of calculation of such irreversible quantities from atomistic theory. The general formalism of this statistical-mechanical theory is examined in detail. The response, relaxation, and correlation functions are defined in quantummechanical way and their relations are investigated. The formalism is illustrated by simple examples of magnetic and conduction problems. Certain sum rules are discussed for these examples. Finally it is pointed out that this theory may be looked as a generalization of the Einstein relation.",Statistical-Mechanical Theory of Irreversible Processes. I
102,"We present ab initio quantum-mechanical molecular-dynamics simulations of the liquid-metal-amorphous-semiconductor transition in Ge. Our simulations are based on (a) finite-temperature density-functional theory of the one-electron states, (b) exact energy minimization and hence calculation of the exact Hellmann-Feynman forces after each molecular-dynamics step using preconditioned conjugate-gradient techniques, (c) accurate nonlocal pseudopotentials, and (d) NosĂŠ dynamics for generating a canonical ensemble. This method gives perfect control of the adiabaticity of the electron-ion ensemble and allows us to perform simulations over more than 30 ps. The computer-generated ensemble describes the structural, dynamic, and electronic properties of liquid and amorphous Ge in very good agreement with experiment. The simulation allows us to study in detail the changes in the structure-property relationship through the metal-semiconductor transition. We report a detailed analysis of the local structural properties and their changes induced by an annealing process. The geometrical, bonding, and spectral properties of defects in the disordered tetrahedral network are investigated and compared with experiment.",Ab initio molecular-dynamics simulation of the liquid-metal-amorphous-semiconductor transition in germanium
103,,Astrophysical quantities
